match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
30,2026-04-20,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",0,3,0,0,0.0,lbw b AM Ghazanfar,11
71,2026-05-26,Royal Challengers Bengaluru,"Himachal Pradesh Cricket Association Stadium, Dharamsala",5,13,1,0,38.46,c TH David b KH Pandya,10
