innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,is_boundary,non_boundary_run,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Rajasthan Royals,6,6,RA Jadeja,M Prasidh Krishna,V Suryavanshi,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,7,1,V Suryavanshi,Washington Sundar,RA Jadeja,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,7,2,RA Jadeja,Washington Sundar,V Suryavanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,7,3,V Suryavanshi,Washington Sundar,RA Jadeja,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,7,4,RA Jadeja,Washington Sundar,V Suryavanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,7,5,V Suryavanshi,Washington Sundar,RA Jadeja,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,7,6,RA Jadeja,Washington Sundar,V Suryavanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,8,1,RA Jadeja,JO Holder,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,8,2,RA Jadeja,JO Holder,V Suryavanshi,4,0,4,True,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,8,3,RA Jadeja,JO Holder,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,8,4,RA Jadeja,JO Holder,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,8,5.wides,RA Jadeja,JO Holder,V Suryavanshi,0,1,1,False,False,wides,1,0,0,0,0,False,,,,middle
1,Rajasthan Royals,8,5,RA Jadeja,JO Holder,V Suryavanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,8,6,V Suryavanshi,JO Holder,RA Jadeja,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,9,1,R Parag,Rashid Khan,V Suryavanshi,4,0,4,True,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,9,2,R Parag,Rashid Khan,V Suryavanshi,6,0,6,True,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,9,3,R Parag,Rashid Khan,V Suryavanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,9,4,V Suryavanshi,Rashid Khan,R Parag,6,0,6,True,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,9,5,V Suryavanshi,Rashid Khan,R Parag,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,9,6,R Parag,Rashid Khan,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,10,1,V Suryavanshi,JO Holder,R Parag,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,10,2,R Parag,JO Holder,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,10,3,R Parag,JO Holder,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,True,caught,R Parag,K Rabada,middle
1,Rajasthan Royals,10,4,MD Shanaka,JO Holder,V Suryavanshi,2,0,2,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,10,5,MD Shanaka,JO Holder,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,10,6,MD Shanaka,JO Holder,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,11,1,V Suryavanshi,M Prasidh Krishna,MD Shanaka,4,0,4,True,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,11,2,V Suryavanshi,M Prasidh Krishna,MD Shanaka,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,11,3,MD Shanaka,M Prasidh Krishna,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,11,4,MD Shanaka,M Prasidh Krishna,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,11,5,MD Shanaka,M Prasidh Krishna,V Suryavanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,11,6,V Suryavanshi,M Prasidh Krishna,MD Shanaka,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,12,1,MD Shanaka,JO Holder,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,12,2,MD Shanaka,JO Holder,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,12,3,MD Shanaka,JO Holder,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,True,caught,MD Shanaka,JC Buttler,middle
1,Rajasthan Royals,12,4,JC Archer,JO Holder,V Suryavanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Rajasthan Royals,12,5,JC Archer,JO Holder,V Suryavanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
