innings,team,wicket_number,player_out,score,over
1,Rajasthan Royals,1,YBK Jaiswal,2,1.4
1,Rajasthan Royals,2,Dhruv Jurel,9,2.5
1,Rajasthan Royals,3,R Parag,101,10.3
1,Rajasthan Royals,4,MD Shanaka,109,12.3
1,Rajasthan Royals,5,JC Archer,118,13.4
1,Rajasthan Royals,6,V Suryavanshi,172,18.2
2,Gujarat Titans,1,B Sai Sudharsan,167,13.5
2,Gujarat Titans,2,Shubman Gill,182,15.6
2,Gujarat Titans,3,Washington Sundar,201,18.1
