innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Rajasthan Royals,death,76,1,30,15.2,11,5
1,Rajasthan Royals,middle,68,3,54,7.56,8,23
1,Rajasthan Royals,powerplay,70,2,36,11.67,12,15
2,Gujarat Titans,death,37,1,22,10.09,6,9
2,Gujarat Titans,middle,113,2,54,12.56,17,7
2,Gujarat Titans,powerplay,69,0,36,11.5,10,8
