match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
34,2026-04-24,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",23,10,1,2,230.0,not out,5
42,2026-04-30,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",12,10,0,1,120.0,c D Padikkal b Suyash Sharma,7
46,2026-05-03,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",5,7,0,0,71.43,c C Connolly b Arshdeep Singh,7
52,2026-05-09,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",7,7,1,0,100.0,c YBK Jaiswal b Brijesh Sharma,5
56,2026-05-12,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",11,10,0,0,110.0,not out,6
71,2026-05-26,Royal Challengers Bengaluru,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,3,0,0,0.0,c JR Hazlewood b Rasikh Salam,6
74,2026-05-31,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",7,5,1,0,140.0,c JR Hazlewood b B Kumar,8
