match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
45,2026-05-03,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,6,0,0,33.33,not out,11
56,2026-05-12,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",0,3,0,0,0.0,not out,11
72,2026-05-27,Rajasthan Royals,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",5,8,0,0,62.5,c JC Archer b N Burger,10
