match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
16,2026-04-10,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",29,15,1,2,193.33,not out,9
42,2026-04-30,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",12,15,1,0,80.0,c B Sai Sudharsan b Arshad Khan,9
61,2026-05-17,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",73,40,8,4,182.5,not out,4
67,2026-05-22,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",44,19,4,4,231.58,c Abhishek Sharma b E Malinga,1
71,2026-05-26,Gujarat Titans,"Himachal Pradesh Cricket Association Stadium, Dharamsala",19,7,3,1,271.43,c Shubman Gill b K Rabada,1
74,2026-05-31,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",32,16,4,2,200.0,c K Rabada b Mohammed Siraj,1
