match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
45,2026-05-03,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",4,4,1,0,100.0,c AM Rahane b CV Varun,5
56,2026-05-12,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",9,15,1,0,60.0,c Shubman Gill b K Rabada,4
63,2026-05-18,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",5,2,1,0,250.0,not out,7
72,2026-05-27,Rajasthan Royals,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,4,0,0,25.0,c JC Archer b N Burger,4
