innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Royal Challengers Bengaluru,death,86,2,30,17.2,12,3
1,Royal Challengers Bengaluru,middle,92,2,54,10.22,12,12
1,Royal Challengers Bengaluru,powerplay,76,1,36,12.67,14,11
2,Gujarat Titans,death,39,2,27,8.67,7,15
2,Gujarat Titans,middle,72,3,54,8.0,11,26
2,Gujarat Titans,powerplay,51,5,36,8.5,10,21
