innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Rajasthan Royals,death,36,5,30,7.2,4,12
1,Rajasthan Royals,middle,127,3,54,14.11,20,13
1,Rajasthan Royals,powerplay,80,0,36,13.33,13,12
2,Sunrisers Hyderabad,death,31,2,26,7.15,4,12
2,Sunrisers Hyderabad,middle,94,4,54,10.44,10,12
2,Sunrisers Hyderabad,powerplay,71,4,36,11.83,11,15
