match_number,date,opponent,catches,stumpings,run_outs
11,2026-04-05,Chennai Super Kings,2,0,0
20,2026-04-12,Mumbai Indians,1,0,0
23,2026-04-15,Lucknow Super Giants,1,0,0
50,2026-05-07,Lucknow Super Giants,1,0,0
54,2026-05-10,Mumbai Indians,2,0,0
71,2026-05-26,Gujarat Titans,1,0,0
74,2026-05-31,Gujarat Titans,2,0,0
