match_number,date,opponent,catches,stumpings,run_outs
16,2026-04-10,Rajasthan Royals,1,0,0
34,2026-04-24,Gujarat Titans,1,0,0
42,2026-04-30,Gujarat Titans,1,0,0
71,2026-05-26,Gujarat Titans,2,0,0
74,2026-05-31,Gujarat Titans,1,0,0
