match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
64,2026-05-19,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",4.0,0,46,0,11.5,10,6,0
72,2026-05-27,Sunrisers Hyderabad,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2.2,0,21,2,9.0,5,3,0
