match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
46,2026-05-03,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",15,11,0,1,136.36,c Vijaykumar Vyshak b MP Stoinis,4
56,2026-05-12,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",22,14,3,1,157.14,c H Klaasen b PJ Cummins,4
60,2026-05-16,Kolkata Knight Riders,"Eden Gardens, Kolkata",1,4,0,0,25.0,c MK Pandey b SP Narine,3
71,2026-05-26,Royal Challengers Bengaluru,"Himachal Pradesh Cricket Association Stadium, Dharamsala",5,3,1,0,166.67,c & b Rasikh Salam,4
74,2026-05-31,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",20,18,3,0,111.11,c D Padikkal b Rasikh Salam,3
