innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,1,5,Gujarat Titans,B Sai Sudharsan,JA Duffy,Nitin Menon,wicket,upheld,False
2,14,6,Gujarat Titans,TH David,Arshad Khan,KN Ananthapadmanabhan,wicket,upheld,False
