match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
46,2026-05-03,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",8,5,1,0,160.0,not out,8
74,2026-05-31,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",15,6,0,2,250.0,c Rasikh Salam b JR Hazlewood,6
