match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
52,2026-05-09,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",16,11,2,0,145.45,c Shubman Gill b JO Holder,8
62,2026-05-17,Delhi Capitals,"Arun Jaitley Stadium, Delhi",10,8,0,1,125.0,c T Stubbs b MA Starc,8
69,2026-05-24,Mumbai Indians,"Wankhede Stadium, Mumbai",29,15,0,3,193.33,"run out (C Bosch, SN Thakur)",5
72,2026-05-27,Sunrisers Hyderabad,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",5,3,1,0,166.67,c Abhishek Sharma b E Malinga,6
73,2026-05-29,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",3,9,0,0,33.33,c JC Buttler b JO Holder,6
